"Localidade","Zona","Agregado","Informante","Sexo","Idade","Parentesco","Naturalidade","Casado","Filhos","Filhosnr","Escola","Nível","Trabalhocasa","Trabalhocidade","Ocupação","Trabalha","Religião","FrequênciaReligiosa","ProficienciaPortuguês","ProficienciaTâmil","ProficienciaSingalês","ProficienciaInglês","ProficiênciaOutra","ContextoGeralPortuguês","ContextoGeralTâmil","ContextoGeralSingalês","ContextoGeralInglês","ContextoGeralOutro","ContextoCasaActualPortuguês","ContextoCasaActualTâmil","ContextoCasaActualSingalês","ContextoCasaActualInglês","ContextoCasaActualOutro","ContextoCasaCriançaPortuguês","ContextoCasaCriançaTâmil","ContextoCasaCriançaSingalês","ContextoCasaCriançaInglês","ContextoCasaCriançaOutro","ContextoPaisPortuguês","ContextoPaisTâmil","ContextoPaisSingalês","ContextoPaisInglês","ContextoPaisOutro","ContexoFilhosPortuguês","ContexoFilhosTâmil","ContexoFilhosSingalês","ContexoFilhosInglês","ContexoFilhosOutro","ContextoAmigosPortuguês","ContextoAmigosTâmil","ContextoAmigosSingalês","ContextoAmigosInglês","ContextoAmigosOutro","ContextoVizinhosPortuguês","ContextoVizinhosTâmil","ContextoVizinhosSingalês","ContextoVizinhosInglês","ContextoVizinhosOutro","ContextoLeituraPortuguês","ContextoLeituraTâmil","ContextoLeituraSingalês","ContextoLeituraInglês","ContextoLeituraOutro","ContextoEscritaPortuguês","ContextoEscritaTâmil","ContextoEscritaSingalês","ContextoEscritaInglês","ContextoEscritaOutro","ContextoEscolarSalaAulaPortuguês","ContextoEscolarSalaAulaTâmil","ContextoEscolarSalaAulaSingalês","ContextoEscolarSalaAulaInglês","ContextoEscolarSalaAulaOutro","ContextoEscolarColegasPortuguês","ContextoEscolarColegasTâmil","ContextoEscolarColegasSingalês","ContextoEscolarColegasInglês","ContextoEscolarColegasOutro","ContextoTrabalhoPortuguês","ContextoTrabalhoTâmil","ContextoTrabalhoSingalês","ContextoTrabalhoInglês","ContextoTrabalhoOutro","ContextoReligiosoPortuguês","ContextoReligiosoTâmil","ContextoReligiosoSingalês","ContextoReligiosoInglês","ContextoReligiosoOutro","Opinião1","Opinião2","Opinião3","Inquiridor","FaixaEtaria","VAR00001","VAR00002","filter_$","GrupoEtário","Fluência","FluênciaTamil","FluênciaCingalês","FluênciaInglês","FluênciaOutras","DS"
"Ampara","Sammanthurai",4,2,"Feminino",36,"Cônjuge","Sammanthunai","Sim","Sim",3,1,5,2,"Não","Doméstica","Não","Católico","Semanalmente","Entende e fala com pouca dificuldade","5","4","4","1",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","30-40",NA,NA,"Not Selected","30-39","Falantes","Falantes","Falantes","Falantes","Não-falantes","Samanthurai"
"Ampara","Sammanthurai",4,3,"Feminino",13,"Filho/a","Sammanthunai","Não","Não",0,1,2,2,"Não","Estudante","Não","Católico","Diariamente","Não fala nem entende","5","1","4","1",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","10-20",NA,NA,"Not Selected","10-19","Não-falantes","Falantes","Não-falantes","Falantes","Não-falantes","Samanthurai"
"Ampara","Sammanthurai",4,4,"Masculino",10,"Filho/a","Sammanthunai","Não","Não",0,1,6,2,"Não","Estudante","Não","Católico","Diariamente","Não fala nem entende","5","1","1","1",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","10-20",NA,NA,"Not Selected","10-19","Não-falantes","Falantes","Não-falantes","Não-falantes","Não-falantes","Samanthurai"
"Ampara","Sammanthurai",4,5,"Masculino",9,"Filho/a","Kalmunai","Não","Não",0,1,NA,2,"Não","Estudante","Não","Católico","Semanalmente","Não fala nem entende","5","1","1","1",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","0-10",NA,NA,"Not Selected","0-9","Não-falantes","Falantes","Não-falantes","Não-falantes","Não-falantes","Samanthurai"
"Ampara","Veeramunai",5,1,"Masculino",41,"Cônjuge","Batticaloa","Sim","Sim",2,1,5,1,"Sim","Carpinteiro","Sim","Católico","Semanalmente","Entende mas não fala","5","4","1","1",0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","40-50",NA,NA,"Not Selected","40-49","Semi-falantes","Falantes","Falantes","Não-falantes","Não-falantes","Samanthurai"
"Ampara","Veeramunai",5,2,"Feminino",36,"Cônjuge","Veeramunai","Sim","Sim",2,1,5,2,"Não","Doméstica","Não","Católico","Semanalmente","Não fala nem entende","5","4","2","1",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,3,0,0,1,2,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","30-40",NA,NA,"Not Selected","30-39","Não-falantes","Falantes","Falantes","Semi-falantes","Não-falantes","Samanthurai"
"Ampara","Veeramunai",5,3,"Masculino",11,"Filho/a","Kalmunai","Não","Não",0,1,7,2,"Não","Estudante","Não","Católico","Semanalmente","Não fala nem entende","5","1","1","1",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","10-20",NA,NA,"Not Selected","10-19","Não-falantes","Falantes","Não-falantes","Não-falantes","Não-falantes","Samanthurai"
"Ampara","Veeramunai",5,4,"Feminino",9,"Filho/a","Kalmunai","Não","Não",0,1,8,2,"Não","Estudante","Não","Católico","Diariamente","Não fala nem entende","5","1","1","1",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","0-10",NA,NA,"Not Selected","0-9","Não-falantes","Falantes","Não-falantes","Não-falantes","Não-falantes","Samanthurai"
"Ampara","Veeramunai",6,1,"Feminino",58,"N/A","Sammanthunai","Sim","Sim",2,2,0,2,"Não","Doméstica","Não","Católico","Semanalmente","Entende e fala com muita dificuldade","5","1","1","1",2,1,0,0,0,0,1,0,0,0,2,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","50-60",NA,NA,"Not Selected","50-59","Semi-falantes","Falantes","Não-falantes","Não-falantes","Não-falantes","Samanthurai"
"Ampara","Veeramunai",6,2,"Feminino",40,"Filho/a","Sammanthunai","Não","Não",0,1,3,1,"Sim","Tecelã","Sim","Católico",NA,"Não fala nem entende","5","1","1","1",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","40-50",NA,NA,"Not Selected","40-49","Não-falantes","Falantes","Não-falantes","Não-falantes","Não-falantes","Samanthurai"
"Ampara","Veeramunai",6,3,"Masculino",34,"Filho/a","Sammanthunai","Não","Não",0,1,9,1,"Sim","Carpinteiro","Sim","Católico","Semanalmente","Não fala nem entende","5","1","1","1",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","30-40",NA,NA,"Not Selected","30-39","Não-falantes","Falantes","Não-falantes","Não-falantes","Não-falantes","Samanthurai"
"Ampara","Sammanthurai",7,1,"Feminino",86,"Viúva","Kalmunai","Não","Sim",12,2,0,2,"Não","Ajudante","Sim","Católico","Diariamente","Entende e fala fluentemente","5","1","4","1",2,1,3,0,0,0,1,0,0,0,2,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","80-90",NA,NA,"Not Selected","80-89","Falantes","Falantes","Não-falantes","Falantes","Não-falantes","Samanthurai"
"Ampara","Sammanthurai",8,1,"Masculino",48,"Cônjuge","Valachanai","Sim","Sim",3,1,9,1,"Sim","Carpinteiro","Sim","Católico","Semanalmente","Não fala nem entende","5","5","2",NA,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,2,0,0,0,1,2,0,0,0,1,2,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","40-50",NA,NA,"Not Selected","40-49","Não-falantes","Falantes","Falantes","Semi-falantes",NA,"Samanthurai"
"Ampara","Sammanthurai",8,2,"Feminino",43,"Cônjuge","Sammanthunai","Sim","Sim",3,1,3,1,"Sim","Tarefeira (Labour)","Sim","Católico","Semanalmente","Entende mas não fala","5","1","1","1",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","40-50",NA,NA,"Not Selected","40-49","Semi-falantes","Falantes","Não-falantes","Não-falantes","Não-falantes","Samanthurai"
"Ampara","Sammanthurai",8,3,"Feminino",21,"Filho/a","Karativu","Não","Não",0,1,1,2,"Não","Estudante","Não","Católico","Diariamente","Não fala nem entende","5","2","2","1",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","20-30",NA,NA,"Not Selected","20-29","Não-falantes","Falantes","Semi-falantes","Semi-falantes","Não-falantes","Samanthurai"
"Ampara","Sammanthurai",8,4,"Masculino",17,"Filho/a","Kalmunai","Não","Não",0,1,3,1,"Sim","Carpinteiro","Sim","Católico","Semanalmente","Não fala nem entende","5","4","1","1",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","10-20",NA,NA,"Not Selected","10-19","Não-falantes","Falantes","Falantes","Não-falantes","Não-falantes","Samanthurai"
"Ampara","Sammanthurai",8,5,"Feminino",10,"Filho/a","Kalmunai","Não","Não",0,1,6,2,"Não","Estudante","Não","Católico","Diariamente","Não fala nem entende","5","4","4","1",0,1,2,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,3,0,0,1,2,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","10-20",NA,NA,"Not Selected","10-19","Não-falantes","Falantes","Falantes","Falantes","Não-falantes","Samanthurai"
"Ampara","Sammanthurai",9,1,"Masculino",38,"Cônjuge","Kalmunai","Sim","Sim",2,1,7,1,"Sim","Carpinteiro","Sim","Católico","Semanalmente","Não fala nem entende","5","1","1",NA,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,3,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,3,0,1,0,0,0,1,1,1,"Kiliptan Sellar","30-40",NA,NA,"Not Selected","30-39","Não-falantes","Falantes","Não-falantes","Não-falantes",NA,"Samanthurai"
"Ampara","Sammanthurai",9,2,"Feminino",37,"Cônjuge","Kalmunai","Sim","Sim",2,1,3,2,"Não","Doméstica","Não","Católico","Semanalmente","Entende mas não fala","5","2","1","3",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4,0,1,0,0,0,1,1,1,"Kiliptan Sellar","30-40",NA,NA,"Not Selected","30-39","Semi-falantes","Falantes","Semi-falantes","Não-falantes","Semi-falantes","Samanthurai"
"Ampara","Sammanthurai",9,3,"Masculino",17,"Filho/a","Sammanthunai","Não","Não",0,2,1,2,"Não","Estudante","Não","Católico","Semanalmente","Não fala nem entende","5","1","1","1",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","10-20",NA,NA,"Not Selected","10-19","Não-falantes","Falantes","Não-falantes","Não-falantes","Não-falantes","Samanthurai"
"Ampara","Sammanthurai",9,4,"Masculino",11,"Filho/a","Sammanthunai","Não","Não",0,1,7,2,"Não","Estudante","Não","Católico","Semanalmente","Não fala nem entende","5","1","1","1",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","10-20",NA,NA,"Not Selected","10-19","Não-falantes","Falantes","Não-falantes","Não-falantes","Não-falantes","Samanthurai"
"Ampara","Sammanthurai",10,1,"Masculino",52,"Cônjuge","Kalmunai","Sim","Sim",1,2,0,1,"Sim","Carpinteiro","Sim","Católico","Semanalmente","Não fala nem entende","5","1","1","1",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","50-60",NA,NA,"Not Selected","50-59","Não-falantes","Falantes","Não-falantes","Não-falantes","Não-falantes","Samanthurai"
"Ampara","Sammanthurai",10,2,"Feminino",48,"Cônjuge","Kalmunai","Sim","Sim",1,1,7,2,"Não","Doméstica","Não","Católico","Semanalmente","Não fala nem entende","5","1","1","1",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","40-50",NA,NA,"Not Selected","40-49","Não-falantes","Falantes","Não-falantes","Não-falantes","Não-falantes","Samanthurai"
"Ampara","Sammanthurai",10,3,"Masculino",24,"Filho/a","Karaitivu","Não","Não",0,1,1,1,"Sim","Segurança","Sim","Católico","Semanalmente","Não fala nem entende","5","4","4","1",0,1,2,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,0,0,1,0,0,0,0,1,2,3,0,0,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0,1,2,3,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","20-30",NA,NA,"Not Selected","20-29","Não-falantes","Falantes","Falantes","Falantes","Não-falantes","Samanthurai"
"Ampara","Sammanthurai",11,1,"Masculino",40,"Cônjuge","Akkaraipattu","Sim","Sim",1,2,NA,2,"Sim","Carpinteiro","Sim",NA,"Semanalmente","Não fala nem entende","5",NA,"1","3",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,1,1,1,"Kiliptan Sellar","40-50",NA,NA,"Not Selected","40-49","Não-falantes","Falantes",NA,"Não-falantes","Semi-falantes","Samanthurai"
"Ampara","Sammanthurai",11,2,"Feminino",39,"Cônjuge","Sammanthunai","Sim","Sim",1,1,9,2,"Não","Doméstica","Não","Católico","Diariamente","Entende mas não fala","5","1","1","1",2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","30-40",NA,NA,"Not Selected","30-39","Semi-falantes","Falantes","Não-falantes","Não-falantes","Não-falantes","Samanthurai"
"Ampara","Sammanthurai",11,3,"Masculino",18,"Filho/a","Sammanthunai","Não","Não",0,1,5,1,"Não",NA,NA,"Católico","Semanalmente","Não fala nem entende","5","4","1","1",0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","10-20",NA,NA,"Not Selected","10-19","Não-falantes","Falantes","Falantes","Não-falantes","Não-falantes","Samanthurai"
